HAT_KODU,DURAK_ID,BINIS_SAYISI
20071,50017,3
20071,50018,133
20071,50019,32
20071,50020,55
20071,50021,13
20071,50022,105
20071,50023,16
20071,50024,12
20071,50025,4
20071,50026,22
20071,50027,13
20071,50028,71
20071,50029,11
20071,50030,26
20071,50031,1
20071,50032,32
20071,50033,7
20071,50034,78
20071,50035,2
20071,50036,99
20071,50037,6
20071,50038,60
20071,50039,1
20071,50040,48
20071,50041,12
20071,50042,61
20071,50258,1
20071,50260,28
20071,50262,2
20071,50266,6
20071,50268,23
20071,50270,13
20071,50272,3
20071,50298,1
20071,50887,204
20071,99999,150
20081,10102,721
20081,10117,66
20081,10121,73
20081,10126,501
20081,10143,1574
20081,10144,336
20081,10145,17
20081,10146,9
20081,10147,143
20081,10148,183
20081,10177,188
20081,10184,43
20081,10185,51
20081,10187,57
20081,10188,123
20081,10189,84
20081,10190,118
20081,10191,37
20081,10192,60
20081,10193,59
20081,10194,78
20081,10195,75
20081,10196,107
20081,10197,167
20081,10198,72
20081,10199,65
20081,10200,122
20081,10201,56
20081,10202,224
20081,10204,131
20081,10322,388
20081,10325,30
20081,10328,228
20081,10329,83
20081,10332,167
20081,10333,56
20081,10334,275
20081,10338,136
20081,10353,5
20081,10415,71
20081,10416,684
20081,10426,4
20081,10428,15
20081,10430,113
20081,10441,5
20081,10443,19
20081,10445,10
20081,10447,131
20081,10454,688
20081,50006,263
20081,50007,347
20081,50008,38
20081,50009,169
20081,50010,203
20081,50011,97
20081,50012,265
20081,50013,131
20081,50014,102
20081,50015,28
20081,50016,89
20081,50017,25
20081,50018,276
20081,50019,129
20081,50020,92
20081,50021,58
20081,50022,589
20081,50023,96
20081,50024,30
20081,50025,39
20081,50026,77
20081,50027,85
20081,50028,295
20081,50029,57
20081,50030,73
20081,50031,24
20081,50032,135
20081,50033,64
20081,50034,203
20081,50035,36
20081,50036,245
20081,50037,87
20081,50038,143
20081,50039,38
20081,50040,86
20081,50041,33
20081,50042,84
20081,50043,3
20081,50044,31
20081,50045,21
20081,50046,150
20081,50048,8
20081,50050,7
20081,50051,2
20081,50052,32
20081,50053,2
20081,50054,4
20081,50056,2
20081,50057,19
20081,50058,11
20081,50059,8
20081,50060,11
20081,50061,3
20081,50062,6
20081,50063,9
20081,50064,26
20081,50065,1
20081,50066,37
20081,50067,8
20081,50068,36
20081,50069,7
20081,50070,59
20081,50071,7
20081,50072,41
20081,50073,3
20081,50074,20
20081,50075,2
20081,50076,13
20081,50079,5
20081,50080,23
20081,50081,25
20081,50082,1
20081,50083,23
20081,50084,150
20081,50085,3
20081,50086,38
20081,50087,2
20081,50088,41
20081,50089,15
20081,50090,98
20081,50092,162
20081,50124,6
20081,50298,10
20081,50357,28
20081,50362,90
20081,50363,29
20081,50364,2
20081,50365,46
20081,50366,1
20081,50367,92
20081,50369,34
20081,50370,1
20081,50371,364
20081,50379,22
20081,50380,44
20081,50382,24
20081,50383,1
20081,50886,392
20081,99999,389
20091,50083,1
20091,50087,1
20091,50330,1
20091,50362,4
20091,50371,3
20091,50379,3
20091,50394,1
20091,50468,2
20091,50470,2
20091,50472,1
20091,50474,4
20091,50734,9
20091,50740,3
20091,50741,1
20091,50742,1
20091,50754,1
20091,50756,4
20091,99999,24
20111,10020,330
20111,10143,64
20111,10145,2
20111,10146,3
20111,10147,9
20111,10148,41
20111,10184,17
20111,10185,3
20111,10187,7
20111,10188,33
20111,10189,6
20111,10190,28
20111,10191,2
20111,10192,15
20111,10193,1
20111,10194,11
20111,10195,2
20111,10196,20
20111,10197,13
20111,10198,17
20111,10200,12
20111,10201,1
20111,10202,31
20111,10204,21
20111,50184,15
20111,50186,4
20111,50188,13
20111,50190,7
20111,50192,1
20111,50208,19
20111,50210,1
20111,50212,236
20111,50213,2
20111,99999,40
20121,10102,409
20121,10103,143
20121,10104,448
20121,10105,241
20121,10106,317
20121,10107,105
20121,10108,758
20121,10109,163
20121,10110,407
20121,10111,33
20121,10143,891
20121,10144,575
20121,10145,17
20121,10146,13
20121,10147,80
20121,10148,285
20121,10177,11
20121,10184,69
20121,10185,35
20121,10187,53
20121,10188,184
20121,10189,50
20121,10190,233
20121,10191,71
20121,10192,186
20121,10193,17
20121,10194,232
20121,10195,16
20121,10196,196
20121,10197,71
20121,10198,151
20121,10199,9
20121,10200,322
20121,10201,23
20121,10202,641
20121,10204,321
20121,10415,76
20121,10418,605
20121,10426,8
20121,10428,19
20121,10430,86
20121,10441,6
20121,10443,23
20121,10445,16
20121,10447,28
20121,10454,571
20121,50298,14
20121,50887,1749
20121,99999,345
20141,10018,1692
20141,10143,610
20141,10145,6
20141,10146,2
20141,10147,101
20141,10148,109
20141,10149,48
20141,10151,34
20141,10153,56
20141,10157,94
20141,10161,66
20141,10163,87
20141,10165,16
20141,10167,52
20141,10169,57
20141,10171,158
20141,10173,20
20141,10175,13
20141,10177,66
20141,10178,178
20141,10184,33
20141,10188,69
20141,10190,112
20141,10192,76
20141,10194,61
20141,10196,95
20141,10198,48
20141,10200,81
20141,10202,242
20141,10204,115
20141,10503,292
20141,10504,57
20141,10506,245
20141,10517,5
20141,10518,87
20141,10519,12
20141,10520,140
20141,10521,2
20141,10522,114
20141,10523,11
20141,10524,182
20141,10525,6
20141,10526,125
20141,10528,144
20141,10530,84
20141,10531,3
20141,10532,85
20141,10533,1
20141,10534,42
20141,13185,130
20141,13187,109
20141,13189,19
20141,13191,41
20141,50901,212
20141,99999,370
20151,10008,443
20151,10240,2
20151,10241,16
20151,10246,12
20151,10248,10
20151,10249,34
20151,10252,20
20151,10253,38
20151,10254,59
20151,10257,220
20151,10259,34
20151,10262,85
20151,10285,8
20151,12189,4
20151,12190,87
20151,12192,152
20151,12193,639
20151,99999,182
20161,10255,198
20161,10258,7
20161,12267,63
20161,12268,2
20161,12269,6
20161,12270,23
20161,12303,10
20161,12304,44
20161,12305,2
20161,12306,41
20161,12315,16
20161,12316,88
20161,12323,1
20161,12324,39
20161,12326,20
20161,12331,5
20161,12332,18
20161,12334,17
20161,12367,1
20161,12441,15
20161,13106,44
20161,13386,16
20161,13388,15
20161,13390,15
20161,13391,1
20161,99999,53
20171,13254,113
20171,13256,56
20171,13257,1
